Frequency (Hz)	Level (dB)
0.976562	-73.747162
1.953125	-63.803921
2.929688	-55.076138
3.906250	-50.141312
4.882812	-50.390556
5.859375	-53.695198
6.835938	-55.307022
7.812500	-57.681240
8.789062	-61.577976
9.765625	-58.069607
10.742188	-56.716244
11.718750	-57.650135
12.695312	-59.078300
13.671875	-58.900417
14.648438	-60.075367
15.625000	-61.289070
16.601562	-63.901669
17.578125	-64.925613
18.554688	-64.138123
19.531250	-65.062408
20.507812	-66.760460
21.484375	-67.765831
22.460938	-65.514297
23.437500	-65.491684
24.414062	-66.700264
25.390625	-67.825768
26.367188	-66.754601
27.343750	-69.687927
28.320312	-71.007950
29.296875	-70.558044
30.273438	-69.726471
31.250000	-69.835464
32.226562	-70.697807
33.203125	-70.484825
34.179688	-69.105507
35.156250	-69.718414
36.132812	-70.420929
37.109375	-72.973999
38.085938	-70.158707
39.062500	-71.714211
40.039062	-72.295525
41.015625	-71.705170
41.992188	-72.125740
42.968750	-70.829178
43.945312	-70.597313
44.921875	-72.619286
45.898438	-69.651604
46.875000	-67.301506
47.851562	-70.615425
48.828125	-72.904617
49.804688	-73.237190
50.781250	-71.024086
51.757812	-70.836082
52.734375	-70.025345
53.710938	-71.409630
54.687500	-72.185471
55.664062	-72.856682
56.640625	-73.129044
57.617188	-70.787064
58.593750	-69.236855
59.570312	-69.811203
60.546875	-70.892387
61.523438	-71.566940
62.500000	-71.521156
63.476562	-69.323341
64.453125	-71.630836
65.429688	-70.514374
66.406250	-69.684982
67.382812	-67.970284
68.359375	-68.376869
69.335938	-68.924271
70.312500	-68.174530
71.289062	-68.661270
72.265625	-67.941124
73.242188	-67.790833
74.218750	-69.093201
75.195312	-70.206070
76.171875	-70.857674
77.148438	-72.513023
78.125000	-71.049873
79.101562	-69.363022
80.078125	-69.438820
81.054688	-69.054825
82.031250	-71.406921
83.007812	-70.958633
83.984375	-72.058395
84.960938	-71.780540
85.937500	-70.401253
86.914062	-70.947510
87.890625	-71.395622
88.867188	-72.280975
89.843750	-72.484138
90.820312	-72.520782
91.796875	-72.031425
92.773438	-71.943001
93.750000	-73.754311
94.726562	-72.080002
95.703125	-71.026299
96.679688	-69.923882
97.656250	-69.113968
98.632812	-70.020020
99.609375	-69.352936
100.585938	-70.150230
101.562500	-69.723602
102.539062	-71.410690
103.515625	-71.692741
104.492188	-69.342484
105.468750	-69.860229
106.445312	-67.460670
107.421875	-64.050423
108.398438	-66.126488
109.375000	-68.056381
110.351562	-68.076012
111.328125	-66.232262
112.304688	-65.922195
113.281250	-65.494041
114.257812	-65.061966
115.234375	-65.315025
116.210938	-66.124588
117.187500	-65.925392
118.164062	-65.482018
119.140625	-66.248352
120.117188	-64.294220
121.093750	-62.660702
122.070312	-61.965424
123.046875	-61.335220
124.023438	-62.802502
125.000000	-62.670368
125.976562	-63.425652
126.953125	-62.544743
127.929688	-61.871243
128.906250	-61.630070
129.882812	-59.525349
130.859375	-59.403881
131.835938	-59.394287
132.812500	-58.579346
133.789062	-58.889057
134.765625	-57.253113
135.742188	-57.142311
136.718750	-56.039391
137.695312	-57.153259
138.671875	-57.871967
139.648438	-59.504250
140.625000	-57.702850
141.601562	-55.569763
142.578125	-55.171001
143.554688	-54.715855
144.531250	-55.534481
145.507812	-55.107826
146.484375	-55.417377
147.460938	-55.504066
148.437500	-54.569973
149.414062	-52.989994
150.390625	-52.385345
151.367188	-51.779488
152.343750	-53.342312
153.320312	-52.031399
154.296875	-51.629044
155.273438	-51.426399
156.250000	-51.137218
157.226562	-50.232891
158.203125	-50.232029
159.179688	-51.076981
160.156250	-50.102444
161.132812	-50.211918
162.109375	-49.974224
163.085938	-50.436096
164.062500	-47.914230
165.039062	-46.870365
166.015625	-46.131073
166.992188	-45.304836
167.968750	-46.680157
168.945312	-46.878567
169.921875	-45.211418
170.898438	-44.672977
171.875000	-45.567318
172.851562	-46.349800
173.828125	-46.408154
174.804688	-43.904217
175.781250	-43.411804
176.757812	-44.557430
177.734375	-44.085983
178.710938	-42.228436
179.687500	-43.172504
180.664062	-43.047268
181.640625	-42.614613
182.617188	-43.504677
183.593750	-43.974083
184.570312	-42.702560
185.546875	-41.995533
186.523438	-41.080864
187.500000	-41.411522
188.476562	-40.674538
189.453125	-39.071842
190.429688	-40.092873
191.406250	-40.202015
192.382812	-40.152527
193.359375	-38.795738
194.335938	-39.644848
195.312500	-39.486050
196.289062	-40.002247
197.265625	-37.368240
198.242188	-36.490135
199.218750	-37.053143
200.195312	-36.041801
201.171875	-36.472702
202.148438	-36.728565
203.125000	-35.181210
204.101562	-36.106216
205.078125	-36.024433
206.054688	-36.457832
207.031250	-37.204781
208.007812	-35.298008
208.984375	-36.039989
209.960938	-36.055141
210.937500	-34.979549
211.914062	-32.811150
212.890625	-31.992344
213.867188	-33.184498
214.843750	-34.178486
215.820312	-33.246460
216.796875	-33.215157
217.773438	-34.095497
218.750000	-33.701477
219.726562	-33.056580
220.703125	-33.094093
221.679688	-33.220871
222.656250	-30.953459
223.632812	-30.685881
224.609375	-28.730740
225.585938	-29.569389
226.562500	-30.660191
227.539062	-28.840702
228.515625	-30.309114
229.492188	-29.476597
230.468750	-29.727959
231.445312	-30.102720
232.421875	-28.859221
233.398438	-27.342642
234.375000	-27.539732
235.351562	-27.586990
236.328125	-27.730364
237.304688	-27.101963
238.281250	-28.023384
239.257812	-28.385635
240.234375	-26.565887
241.210938	-26.262806
242.187500	-25.537115
243.164062	-26.552088
244.140625	-27.407795
245.117188	-29.014315
246.093750	-29.078775
247.070312	-28.582685
248.046875	-28.469204
249.023438	-28.774609
250.000000	-29.772932
250.976562	-29.235643
251.953125	-30.365520
252.929688	-30.110701
253.906250	-29.227890
254.882812	-29.215086
255.859375	-31.934891
256.835938	-32.463093
257.812500	-31.671217
258.789062	-30.672630
259.765625	-32.154976
260.742188	-31.989559
261.718750	-31.458115
262.695312	-32.122265
263.671875	-33.858707
264.648438	-33.430134
265.625000	-33.566319
266.601562	-33.509106
267.578125	-33.513100
268.554688	-32.133251
269.531250	-31.860481
270.507812	-32.299110
271.484375	-33.362278
272.460938	-35.559513
273.437500	-34.168453
274.414062	-35.627064
275.390625	-33.734291
276.367188	-34.296265
277.343750	-35.437359
278.320312	-35.811840
279.296875	-36.438293
280.273438	-36.417084
281.250000	-35.340992
282.226562	-35.284973
283.203125	-36.337097
284.179688	-35.710320
285.156250	-35.406387
286.132812	-35.140980
287.109375	-35.087734
288.085938	-36.298328
289.062500	-38.470497
290.039062	-37.606812
291.015625	-36.728573
291.992188	-37.545666
292.968750	-37.273148
293.945312	-36.614689
294.921875	-36.512947
295.898438	-37.279816
296.875000	-37.897861
