Frequency (Hz)	Level (dB)
0.976562	-62.330273
1.953125	-50.629665
2.929688	-31.799753
3.906250	-20.936491
4.882812	-23.224411
5.859375	-32.257431
6.835938	-35.965820
7.812500	-36.502399
8.789062	-35.161373
9.765625	-37.887718
10.742188	-39.810680
11.718750	-41.736969
12.695312	-41.756386
13.671875	-39.322987
14.648438	-36.444283
15.625000	-34.258297
16.601562	-33.454926
17.578125	-35.232243
18.554688	-37.991096
19.531250	-41.674545
20.507812	-44.123089
21.484375	-43.383015
22.460938	-43.606800
23.437500	-44.350060
24.414062	-43.536251
25.390625	-45.295670
26.367188	-44.605194
27.343750	-42.907623
28.320312	-44.076694
29.296875	-44.333340
30.273438	-41.764023
31.250000	-39.587120
32.226562	-40.212364
33.203125	-40.844505
34.179688	-39.622448
35.156250	-42.052814
36.132812	-42.063854
37.109375	-44.685448
38.085938	-46.836498
39.062500	-47.413391
40.039062	-46.697830
41.015625	-49.447388
41.992188	-51.665062
42.968750	-54.561840
43.945312	-54.162594
44.921875	-54.485306
45.898438	-54.855324
46.875000	-57.638668
47.851562	-58.411919
48.828125	-59.023319
49.804688	-58.720005
50.781250	-59.967472
51.757812	-61.065006
52.734375	-60.900696
53.710938	-63.150341
54.687500	-64.360840
55.664062	-64.874977
56.640625	-63.357662
57.617188	-64.245079
58.593750	-65.127052
59.570312	-65.315536
60.546875	-65.750565
61.523438	-65.311462
62.500000	-67.520416
63.476562	-69.692421
64.453125	-68.803665
65.429688	-67.649994
66.406250	-68.735977
67.382812	-67.329590
68.359375	-66.939812
69.335938	-69.688675
70.312500	-70.127113
71.289062	-68.084869
72.265625	-68.580429
73.242188	-69.121361
74.218750	-71.013245
75.195312	-71.475639
76.171875	-71.740814
77.148438	-71.320274
78.125000	-75.120506
79.101562	-71.973808
80.078125	-71.802895
81.054688	-70.145149
82.031250	-72.452850
83.007812	-72.367157
83.984375	-71.923607
84.960938	-71.306458
85.937500	-71.699745
86.914062	-71.924706
87.890625	-71.421051
88.867188	-72.474579
89.843750	-72.823105
90.820312	-71.541168
91.796875	-72.689674
92.773438	-73.796539
93.750000	-72.489479
94.726562	-72.414047
95.703125	-73.648514
96.679688	-73.036919
97.656250	-72.207306
98.632812	-72.813217
99.609375	-72.004196
100.585938	-74.541000
101.562500	-72.711365
102.539062	-72.415390
103.515625	-72.731262
104.492188	-73.294220
105.468750	-73.191292
106.445312	-72.277832
107.421875	-73.446053
108.398438	-73.139374
109.375000	-74.188675
110.351562	-73.702080
111.328125	-73.685966
112.304688	-72.720329
113.281250	-73.337860
114.257812	-73.636299
115.234375	-71.585640
116.210938	-70.824097
117.187500	-73.770683
118.164062	-73.193314
119.140625	-72.692795
120.117188	-72.449791
121.093750	-74.347282
122.070312	-73.621246
123.046875	-73.960861
124.023438	-72.741249
125.000000	-73.310104
125.976562	-73.099525
126.953125	-73.283699
127.929688	-71.253891
128.906250	-73.848404
129.882812	-73.638870
130.859375	-74.349762
131.835938	-73.836609
132.812500	-73.982986
133.789062	-73.657532
134.765625	-72.756386
135.742188	-72.518280
136.718750	-71.880974
137.695312	-72.724518
138.671875	-74.009529
139.648438	-73.190636
140.625000	-73.114944
141.601562	-71.266670
142.578125	-72.306778
143.554688	-71.949753
144.531250	-72.485054
145.507812	-71.901283
146.484375	-73.286102
147.460938	-72.460495
148.437500	-72.798515
149.414062	-71.215454
150.390625	-71.879974
151.367188	-72.924591
152.343750	-72.239594
153.320312	-72.195267
154.296875	-71.135414
155.273438	-70.820457
156.250000	-71.554482
157.226562	-69.624977
158.203125	-71.143127
159.179688	-71.675812
160.156250	-71.716789
161.132812	-73.031059
162.109375	-69.818779
163.085938	-70.610641
164.062500	-73.389702
165.039062	-70.858376
166.015625	-70.227592
166.992188	-69.304054
167.968750	-70.132423
168.945312	-72.140167
169.921875	-70.693695
170.898438	-69.356644
171.875000	-69.196396
172.851562	-71.326668
173.828125	-71.951302
174.804688	-69.727509
175.781250	-69.493919
176.757812	-69.022835
177.734375	-69.405792
178.710938	-68.675743
179.687500	-68.629524
180.664062	-69.836540
181.640625	-69.304802
182.617188	-69.638809
183.593750	-70.122849
184.570312	-69.478462
185.546875	-68.805519
186.523438	-68.462265
187.500000	-68.647171
188.476562	-68.702637
189.453125	-68.924286
190.429688	-69.642349
191.406250	-68.704147
192.382812	-70.536568
193.359375	-68.757507
194.335938	-67.807220
195.312500	-67.999474
196.289062	-67.725487
197.265625	-66.579704
198.242188	-67.623955
199.218750	-67.793648
200.195312	-65.153137
201.171875	-64.774628
202.148438	-66.662262
203.125000	-65.901337
204.101562	-67.256882
205.078125	-65.635445
