Frequency (Hz)	Level (dB)
0.976562	-71.279602
1.953125	-62.162552
2.929688	-49.654232
3.906250	-43.251541
4.882812	-47.821819
5.859375	-54.980453
6.835938	-56.623844
7.812500	-56.982853
8.789062	-57.662045
9.765625	-57.614574
10.742188	-54.844494
11.718750	-54.857502
12.695312	-56.865108
13.671875	-56.704235
14.648438	-57.808102
15.625000	-59.282406
16.601562	-59.353588
17.578125	-60.269135
18.554688	-59.366188
19.531250	-58.507874
20.507812	-58.578957
21.484375	-58.291912
22.460938	-58.950356
23.437500	-60.569542
24.414062	-61.457737
25.390625	-61.495628
26.367188	-62.474098
27.343750	-62.829540
28.320312	-62.518688
29.296875	-62.712475
30.273438	-63.694836
31.250000	-63.396809
32.226562	-63.554039
33.203125	-63.635109
34.179688	-64.038147
35.156250	-65.933449
36.132812	-65.220497
37.109375	-64.659569
38.085938	-64.674644
39.062500	-65.170303
40.039062	-64.621803
41.015625	-64.771660
41.992188	-65.828316
42.968750	-64.696960
43.945312	-65.877533
44.921875	-64.688011
45.898438	-63.490017
46.875000	-65.329025
47.851562	-65.228333
48.828125	-64.881477
49.804688	-64.389145
50.781250	-63.875057
51.757812	-63.452152
52.734375	-65.434334
53.710938	-65.624710
54.687500	-65.540878
55.664062	-63.237427
56.640625	-64.101280
57.617188	-65.145599
58.593750	-64.488487
59.570312	-63.904858
60.546875	-65.069763
61.523438	-64.759361
62.500000	-62.892178
63.476562	-63.207104
64.453125	-63.552677
65.429688	-62.149540
66.406250	-62.584003
67.382812	-61.465790
68.359375	-62.186226
69.335938	-61.224701
70.312500	-60.219994
71.289062	-60.492386
72.265625	-60.359844
73.242188	-60.007816
74.218750	-60.928493
75.195312	-59.272003
76.171875	-59.485340
77.148438	-58.747730
78.125000	-58.852753
79.101562	-59.008751
80.078125	-58.542377
81.054688	-57.396446
82.031250	-57.901276
83.007812	-58.148792
83.984375	-58.297642
84.960938	-59.536701
85.937500	-60.050442
86.914062	-59.271599
87.890625	-59.173737
88.867188	-60.913235
89.843750	-62.275166
90.820312	-61.880333
91.796875	-62.074265
92.773438	-63.000370
93.750000	-62.445698
94.726562	-62.737701
95.703125	-64.104675
96.679688	-63.999687
97.656250	-64.621666
98.632812	-65.296928
99.609375	-65.569481
100.585938	-65.696800
101.562500	-65.913315
102.539062	-66.126686
103.515625	-66.142380
104.492188	-65.754883
105.468750	-65.911201
106.445312	-67.681206
107.421875	-66.054298
108.398438	-67.778107
109.375000	-68.270020
110.351562	-68.185303
111.328125	-66.677650
112.304688	-67.645668
113.281250	-66.769272
114.257812	-66.687347
115.234375	-67.831810
116.210938	-67.898232
117.187500	-67.751091
118.164062	-68.382339
119.140625	-69.547813
120.117188	-66.778008
121.093750	-65.749252
122.070312	-67.802246
123.046875	-66.878647
124.023438	-66.750153
125.000000	-67.672997
125.976562	-67.604149
126.953125	-67.311310
127.929688	-67.515213
128.906250	-66.449173
129.882812	-65.417244
130.859375	-66.155777
131.835938	-66.151474
132.812500	-67.165535
133.789062	-66.525986
134.765625	-64.427879
135.742188	-63.045639
136.718750	-63.845325
137.695312	-63.551830
138.671875	-64.502495
139.648438	-64.399368
140.625000	-63.143009
141.601562	-62.881268
142.578125	-62.113163
143.554688	-63.701233
144.531250	-64.048370
145.507812	-62.352356
146.484375	-61.718975
147.460938	-62.143593
148.437500	-60.148781
149.414062	-59.326710
150.390625	-60.020084
151.367188	-60.256020
152.343750	-59.572048
153.320312	-59.601585
154.296875	-59.472363
155.273438	-57.967926
156.250000	-57.680550
157.226562	-57.138737
158.203125	-57.591396
159.179688	-58.329350
160.156250	-58.132874
