Frequency (Hz)	Level (dB)
0.976562	-71.487808
1.953125	-63.374123
2.929688	-56.176739
3.906250	-51.698467
4.882812	-51.806740
5.859375	-51.904793
6.835938	-54.550064
7.812500	-55.218693
8.789062	-54.250011
9.765625	-54.026962
10.742188	-53.853153
11.718750	-53.493668
12.695312	-54.737194
13.671875	-55.519367
14.648438	-56.163940
15.625000	-57.721088
16.601562	-58.867779
17.578125	-59.348934
18.554688	-58.815742
19.531250	-58.259270
20.507812	-58.514248
21.484375	-59.852642
22.460938	-60.935448
23.437500	-60.338264
24.414062	-61.259876
25.390625	-61.737305
26.367188	-62.653797
27.343750	-61.576050
28.320312	-62.582489
29.296875	-62.820393
30.273438	-62.484180
31.250000	-62.307858
32.226562	-62.291340
33.203125	-61.777977
34.179688	-62.664314
35.156250	-62.732353
36.132812	-62.867222
37.109375	-62.617760
38.085938	-63.477551
39.062500	-63.515553
40.039062	-64.213058
41.015625	-62.745197
41.992188	-62.597321
42.968750	-63.657787
43.945312	-60.755283
44.921875	-60.631664
45.898438	-61.718029
46.875000	-59.767414
47.851562	-60.170383
48.828125	-61.342823
49.804688	-62.125519
50.781250	-60.136353
51.757812	-60.423191
52.734375	-60.761784
53.710938	-60.600666
54.687500	-59.681339
55.664062	-58.340778
56.640625	-57.699749
57.617188	-58.448769
58.593750	-56.969872
59.570312	-55.333714
60.546875	-55.371975
61.523438	-56.587551
62.500000	-55.901604
63.476562	-54.575199
64.453125	-54.206650
65.429688	-54.935116
66.406250	-54.831070
67.382812	-56.814148
68.359375	-58.584553
69.335938	-57.602909
70.312500	-59.221809
71.289062	-58.694668
72.265625	-59.607899
73.242188	-60.047733
74.218750	-60.540596
75.195312	-62.788795
76.171875	-62.204987
77.148438	-62.391788
78.125000	-62.313591
79.101562	-64.022522
80.078125	-65.258896
81.054688	-64.547028
82.031250	-65.347076
83.007812	-64.212685
83.984375	-64.385544
84.960938	-65.206764
85.937500	-66.858330
86.914062	-66.490669
87.890625	-65.297211
88.867188	-66.058937
89.843750	-67.533714
90.820312	-66.256363
91.796875	-67.437744
92.773438	-66.896072
93.750000	-66.872780
94.726562	-68.643303
95.703125	-68.057228
96.679688	-67.373528
97.656250	-67.321503
98.632812	-66.045944
99.609375	-66.814766
100.585938	-67.182144
101.562500	-66.091957
102.539062	-64.982773
103.515625	-65.660629
104.492188	-67.529228
105.468750	-66.351837
106.445312	-66.025833
107.421875	-65.027092
108.398438	-65.153008
109.375000	-64.157204
110.351562	-65.766167
111.328125	-64.591118
112.304688	-62.344913
113.281250	-62.038921
114.257812	-61.984768
115.234375	-62.140709
116.210938	-64.251617
117.187500	-64.711296
118.164062	-63.499962
119.140625	-63.272556
120.117188	-62.652443
121.093750	-60.149239
122.070312	-59.641693
123.046875	-59.016262
124.023438	-59.892860
125.000000	-60.053135
125.976562	-61.176418
126.953125	-59.945152
127.929688	-58.763901
128.906250	-58.431267
129.882812	-56.849155
130.859375	-56.714596
131.835938	-56.937012
132.812500	-56.655308
133.789062	-55.838150
134.765625	-54.951229
135.742188	-54.102757
136.718750	-54.188194
137.695312	-55.239769
138.671875	-54.902561
139.648438	-55.056660
140.625000	-54.334465
141.601562	-53.090729
142.578125	-52.034740
143.554688	-51.282448
144.531250	-52.090576
145.507812	-51.908745
146.484375	-51.517311
147.460938	-51.738064
148.437500	-49.947220
149.414062	-48.916203
150.390625	-49.694630
151.367188	-48.529095
152.343750	-48.637802
153.320312	-48.458492
154.296875	-47.494118
155.273438	-47.675541
156.250000	-46.911083
157.226562	-46.303009
158.203125	-46.532482
159.179688	-46.366142
160.156250	-45.422592
161.132812	-45.492115
162.109375	-45.700916
163.085938	-44.325787
164.062500	-43.763973
165.039062	-43.009628
166.015625	-41.444324
166.992188	-41.482403
167.968750	-42.045963
168.945312	-43.414154
169.921875	-41.538525
170.898438	-40.185074
171.875000	-41.104721
172.851562	-42.197632
173.828125	-41.467342
174.804688	-40.889942
175.781250	-39.153725
176.757812	-39.524673
177.734375	-38.647385
178.710938	-37.514313
179.687500	-38.565395
180.664062	-37.696327
181.640625	-37.980953
182.617188	-39.193703
183.593750	-38.696976
184.570312	-37.735443
185.546875	-37.104313
186.523438	-36.316505
187.500000	-36.884846
188.476562	-36.194729
189.453125	-34.853714
190.429688	-35.114124
191.406250	-35.945580
192.382812	-35.285755
